Id,Altitude,Azimuthal_angle,Incline,H_dist_Hydro,V_dist_Hydro,H_dist_Road,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,H_dist_Fire,Wilderness_Area_A,Wilderness_Area_B,Wilderness_Area_C,Wilderness_Area_D,Soil,label
2880,240,957,272,89,268,174,716,822,645,45,0,0,0,1,Soil_Type_10,-1
2881,382,250,121,86,248,242,912,897,507,125,0,0,1,0,Soil_Type_2,1
2882,548,630,227,64,254,254,771,995,751,200,0,0,1,0,Soil_Type_32,-1
2883,642,33,151,215,318,500,826,865,574,223,0,0,1,0,Soil_Type_31,-1
2884,612,25,272,384,187,171,775,794,543,282,0,0,1,0,Soil_Type_24,-1
2885,604,216,151,0,223,966,916,873,472,384,1,0,0,0,Soil_Type_20,-1
2886,637,977,30,129,223,545,850,928,617,196,1,0,0,0,Soil_Type_1,-1
2887,643,58,121,322,267,252,846,877,570,376,0,0,1,0,Soil_Type_31,-1
2888,375,283,227,282,351,97,960,861,389,131,0,0,0,1,Soil_Type_11,1
2889,665,960,212,269,414,19,751,853,641,299,0,1,0,0,Soil_Type_22,-1
2890,782,167,257,271,320,446,909,794,389,194,0,0,1,0,Soil_Type_39,-1
2891,547,125,167,468,466,223,877,850,496,269,0,0,1,0,Soil_Type_33,-1
2892,622,794,348,421,618,341,586,912,865,189,0,0,1,0,Soil_Type_33,-1
2893,445,194,151,365,346,353,909,865,472,291,0,0,1,0,Soil_Type_10,-1
2894,572,860,167,173,257,714,747,916,720,839,1,0,0,0,Soil_Type_12,-1
2895,461,275,91,192,274,398,905,912,535,822,1,0,0,0,Soil_Type_12,-1
2896,616,755,136,21,228,275,775,956,728,76,0,0,1,0,Soil_Type_23,-1
2897,486,125,15,228,321,473,861,924,602,852,1,0,0,0,Soil_Type_12,-1
2898,615,0,182,48,236,496,794,853,598,398,1,0,0,0,Soil_Type_24,-1
2899,666,275,91,232,299,435,905,912,535,490,1,0,0,0,Soil_Type_39,-1
2900,517,544,318,198,391,424,826,991,661,187,0,0,1,0,Soil_Type_4,-1
2901,579,647,288,355,430,413,732,995,787,89,0,0,1,0,Soil_Type_32,-1
2902,487,211,182,215,439,44,924,853,437,228,1,0,0,0,Soil_Type_1,-1
2903,560,885,61,643,435,156,818,924,653,297,0,0,1,0,Soil_Type_32,-1
2904,521,183,121,375,356,440,897,885,515,71,0,0,1,0,Soil_Type_33,-1
2905,796,178,167,21,226,425,905,853,464,350,1,0,0,0,Soil_Type_35,-1
2906,613,461,242,273,290,921,912,960,539,425,1,0,0,0,Soil_Type_1,1
2907,479,436,363,236,418,306,936,924,444,301,0,0,1,0,Soil_Type_4,1
2908,288,944,348,144,296,87,649,783,665,182,0,0,0,1,Soil_Type_10,-1
2909,682,253,136,21,231,232,924,889,480,100,0,0,1,0,Soil_Type_31,1
2910,609,519,348,61,249,739,850,979,610,215,1,0,0,0,Soil_Type_1,-1
2911,554,500,106,21,227,567,877,960,614,309,1,0,0,0,Soil_Type_1,-1
2912,779,930,303,510,385,355,669,822,692,180,0,0,1,0,Soil_Type_32,-1
2913,715,283,182,476,418,118,944,881,437,297,1,0,0,0,Soil_Type_23,-1
2914,468,486,303,107,231,329,889,968,562,135,0,0,1,0,Soil_Type_1,-1
2915,526,75,167,395,374,107,850,850,535,312,1,0,0,0,Soil_Type_12,-1
2916,678,824,106,352,312,342,791,936,692,56,0,0,1,0,Soil_Type_32,-1
2917,494,233,167,421,243,67,924,873,460,164,0,0,1,0,Soil_Type_11,-1
2918,302,86,439,137,328,105,779,645,338,114,0,0,1,0,Soil_Type_10,-1
2919,527,899,394,289,454,479,574,794,751,191,1,0,0,0,Soil_Type_1,-1
2920,694,155,182,508,325,535,897,842,460,322,1,0,0,0,Soil_Type_1,-1
2921,268,361,394,156,298,42,991,842,283,110,0,0,1,0,Soil_Type_4,1
2922,778,125,106,163,323,245,873,885,543,163,0,0,1,0,Soil_Type_38,-1
2923,682,441,272,387,381,66,928,944,500,647,0,1,0,0,Soil_Type_22,-1
2924,576,0,91,501,342,749,834,901,610,765,1,0,0,0,Soil_Type_20,1
2925,622,419,151,154,240,21,916,944,543,501,0,1,0,0,Soil_Type_22,-1
2926,554,19,182,43,227,570,806,846,578,306,1,0,0,0,Soil_Type_1,-1
2927,606,80,151,211,239,200,853,861,539,264,0,0,1,0,Soil_Type_32,-1
2928,536,799,121,198,383,695,783,944,708,678,1,0,0,0,Soil_Type_1,-1
2929,512,483,151,317,294,510,889,964,598,448,1,0,0,0,Soil_Type_12,-1
2930,627,916,257,30,237,169,696,850,700,311,1,0,0,0,Soil_Type_1,1
2931,653,275,91,354,265,634,905,912,535,292,1,0,0,0,Soil_Type_1,1
2932,191,916,530,61,261,203,468,692,720,139,0,0,0,1,Soil_Type_10,1
2933,415,438,45,380,323,130,873,940,602,194,1,0,0,0,Soil_Type_12,-1
2934,463,566,394,144,356,169,771,991,700,238,0,0,1,0,Soil_Type_4,-1
2935,577,147,151,240,278,748,889,861,500,886,1,0,0,0,Soil_Type_1,-1
2936,658,591,121,86,228,393,838,975,669,161,0,0,1,0,Soil_Type_23,-1
2937,490,769,91,30,226,83,802,948,692,63,0,0,1,0,Soil_Type_23,-1
2938,561,375,15,380,312,769,865,936,606,580,1,0,0,0,Soil_Type_1,-1
2939,605,75,212,64,231,125,838,818,503,247,0,0,1,0,Soil_Type_22,-1
2940,591,64,257,173,289,13,818,794,500,180,0,0,1,0,Soil_Type_32,-1
2941,768,463,182,566,528,199,905,960,570,144,0,1,0,0,Soil_Type_31,-1
2942,525,297,333,496,538,350,987,822,295,254,0,0,1,0,Soil_Type_10,1
2943,293,208,484,156,334,86,940,645,122,92,0,0,1,0,Soil_Type_10,-1
2944,473,594,348,221,355,94,755,999,743,278,0,0,1,0,Soil_Type_4,-1
2945,500,336,288,107,265,139,979,869,362,30,1,0,0,0,Soil_Type_1,-1
2946,632,0,136,68,228,451,810,873,606,439,1,0,0,0,Soil_Type_24,-1
2947,639,125,30,192,226,403,865,920,590,123,1,0,0,0,Soil_Type_23,-1
2948,596,369,136,107,228,528,920,928,523,42,1,0,0,0,Soil_Type_1,1
2949,767,500,121,173,219,345,877,964,614,46,0,0,1,0,Soil_Type_38,-1
2950,546,624,45,0,223,178,846,952,645,41,0,0,1,0,Soil_Type_23,-1
2951,561,588,212,89,241,839,814,995,700,515,1,0,0,0,Soil_Type_1,-1
2952,565,874,227,343,427,68,696,889,739,166,1,0,0,0,Soil_Type_1,1
2953,474,672,348,150,289,222,669,987,842,186,0,0,1,0,Soil_Type_33,-1
2954,372,699,257,237,228,110,704,979,810,167,0,0,1,0,Soil_Type_4,1
2955,402,155,76,125,241,28,881,897,551,110,0,0,1,0,Soil_Type_11,-1
2956,472,225,91,355,265,438,897,905,535,907,1,0,0,0,Soil_Type_12,-1
2957,463,25,182,21,228,268,810,846,574,377,1,0,0,0,Soil_Type_23,-1
2958,502,325,167,211,257,544,936,905,476,841,1,0,0,0,Soil_Type_12,-1
2959,407,167,257,163,287,173,909,794,389,59,1,0,0,0,Soil_Type_1,-1
2960,497,497,424,365,116,491,861,956,539,212,0,0,1,0,Soil_Type_1,-1
2961,653,624,76,279,261,282,838,964,665,99,0,0,1,0,Soil_Type_23,-1
2962,769,869,167,298,320,538,747,912,712,260,0,0,1,0,Soil_Type_40,-1
2963,645,844,500,150,330,279,437,794,869,462,1,0,0,0,Soil_Type_1,-1
2964,703,444,257,251,323,157,924,948,515,361,1,0,0,0,Soil_Type_22,-1
2965,558,183,530,317,432,131,901,582,87,109,0,0,1,0,Soil_Type_33,-1
2966,685,119,136,386,421,123,873,869,527,157,1,0,0,0,Soil_Type_22,1
2967,552,216,394,287,413,84,952,712,205,102,0,0,1,0,Soil_Type_33,-1
2968,637,128,272,116,347,329,877,775,405,148,0,0,1,0,Soil_Type_33,-1
2969,236,574,45,30,241,83,853,952,633,90,0,0,0,1,Soil_Type_3,1
2970,706,846,424,48,241,334,523,834,842,399,1,0,0,0,Soil_Type_1,-1
2971,422,494,348,107,232,178,877,968,558,317,1,0,0,0,Soil_Type_1,-1
2972,419,616,333,198,341,293,735,999,775,356,0,0,1,0,Soil_Type_4,1
2973,703,635,61,211,265,38,838,960,661,125,0,0,1,0,Soil_Type_32,-1
2974,658,214,303,152,294,228,948,787,323,211,1,0,0,0,Soil_Type_1,-1
2975,540,50,303,193,270,637,787,759,488,693,1,0,0,0,Soil_Type_1,-1
2976,479,36,197,471,346,428,814,842,558,211,0,0,1,0,Soil_Type_32,-1
2977,378,305,197,258,363,215,952,885,429,250,0,0,1,0,Soil_Type_2,1
2978,590,361,106,125,271,156,916,928,535,382,1,0,0,0,Soil_Type_1,-1
2979,661,558,318,192,337,450,814,995,680,134,0,0,1,0,Soil_Type_33,-1
2980,613,957,121,355,263,405,802,893,637,243,0,0,1,0,Soil_Type_32,-1
2981,597,802,288,198,299,356,645,920,822,193,0,0,1,0,Soil_Type_31,1
2982,713,89,182,228,345,263,853,842,515,328,1,0,0,0,Soil_Type_39,-1
2983,578,36,197,154,292,17,814,838,558,122,1,0,0,0,Soil_Type_22,-1
2984,697,0,106,286,294,117,826,897,610,204,0,1,0,0,Soil_Type_24,-1
2985,598,863,454,215,161,160,496,798,826,396,1,0,0,0,Soil_Type_1,-1
2986,647,275,257,21,212,213,964,846,366,195,1,0,0,0,Soil_Type_1,-1
2987,292,94,136,61,240,132,861,869,543,180,0,0,0,1,Soil_Type_6,1
2988,621,214,242,122,250,187,936,826,385,391,0,0,1,0,Soil_Type_23,-1
2989,638,705,182,228,301,805,759,975,759,344,1,0,0,0,Soil_Type_1,-1
2990,658,680,197,257,308,187,763,983,759,355,0,0,1,0,Soil_Type_33,-1
2991,625,0,257,446,219,545,763,814,586,480,1,0,0,0,Soil_Type_1,-1
2992,779,397,182,30,223,442,936,932,500,146,0,0,1,0,Soil_Type_35,-1
2993,456,64,151,177,245,205,842,861,551,79,0,0,1,0,Soil_Type_31,-1
2994,538,910,182,215,265,441,747,889,688,290,0,0,1,0,Soil_Type_24,-1
2995,573,980,272,334,308,691,735,810,610,237,1,0,0,0,Soil_Type_1,-1
2996,488,580,91,125,268,287,846,968,657,387,1,0,0,0,Soil_Type_1,-1
2997,396,144,212,279,247,442,889,822,444,416,0,0,1,0,Soil_Type_11,1
2998,625,386,197,21,227,438,940,928,488,746,1,0,0,0,Soil_Type_1,-1
2999,504,86,167,0,223,195,853,850,523,361,0,0,1,0,Soil_Type_11,-1
3000,609,352,212,456,376,51,952,905,448,242,0,0,1,0,Soil_Type_33,-1
3001,742,413,272,240,315,317,944,928,468,287,0,0,1,0,Soil_Type_32,-1
3002,493,322,167,89,250,334,944,901,464,322,1,0,0,0,Soil_Type_1,-1
3003,617,980,197,21,234,113,771,850,617,255,1,0,0,0,Soil_Type_22,-1
3004,450,219,61,0,223,394,881,916,566,868,1,0,0,0,Soil_Type_20,-1
3005,214,583,469,30,248,204,708,983,735,86,0,0,0,1,Soil_Type_1,-1
3006,671,913,61,30,221,522,826,924,641,227,1,0,0,0,Soil_Type_23,1
3007,313,250,227,61,244,224,952,846,389,91,0,0,1,0,Soil_Type_4,1
3008,507,50,30,224,303,557,853,920,606,751,1,0,0,0,Soil_Type_12,-1
3009,551,413,167,154,256,518,924,940,527,302,1,0,0,0,Soil_Type_12,-1
3010,424,125,0,154,223,275,857,932,614,588,1,0,0,0,Soil_Type_12,-1
3011,668,788,303,21,237,330,637,928,838,409,1,0,0,0,Soil_Type_1,-1
3012,735,796,409,325,385,78,523,889,893,113,0,1,0,0,Soil_Type_33,-1
3013,399,130,151,0,223,201,881,853,500,209,0,0,1,0,Soil_Type_11,-1
3014,582,511,182,245,249,758,877,975,614,583,1,0,0,0,Soil_Type_1,-1
3015,539,874,15,21,231,795,846,932,629,221,1,0,0,0,Soil_Type_1,-1
3016,656,286,167,211,232,682,936,889,464,200,1,0,0,0,Soil_Type_1,-1
3017,730,250,167,322,334,528,932,877,456,217,1,0,0,0,Soil_Type_40,1
3018,769,211,182,265,372,313,924,853,437,359,1,0,0,0,Soil_Type_40,-1
3019,466,558,288,48,240,253,822,995,676,317,0,0,1,0,Soil_Type_26,-1
3020,632,336,288,232,308,581,979,869,358,91,1,0,0,0,Soil_Type_1,-1
3021,460,444,121,152,279,150,897,952,574,53,0,0,1,0,Soil_Type_34,-1
3022,563,39,136,48,227,149,834,873,578,202,0,0,1,0,Soil_Type_32,-1
3023,387,891,363,173,454,130,602,822,759,244,0,0,1,0,Soil_Type_10,-1
3024,648,724,197,261,279,203,739,971,775,317,0,0,1,0,Soil_Type_23,-1
3025,668,916,257,130,253,615,696,853,700,464,1,0,0,0,Soil_Type_1,-1
3026,789,910,182,432,492,149,747,889,688,199,0,1,0,0,Soil_Type_40,-1
3027,333,97,515,192,379,144,767,574,248,141,0,0,1,0,Soil_Type_10,-1
3028,655,691,288,451,324,566,688,983,826,137,0,0,1,0,Soil_Type_33,1
3029,377,39,242,0,223,263,798,810,539,645,1,0,0,0,Soil_Type_1,-1
3030,550,780,121,286,241,618,783,948,716,793,1,0,0,0,Soil_Type_12,-1
3031,667,11,136,300,287,864,818,873,594,160,1,0,0,0,Soil_Type_1,-1
3032,614,92,121,173,283,17,861,873,547,135,1,0,0,0,Soil_Type_22,1
3033,618,763,348,0,223,637,602,940,869,201,1,0,0,0,Soil_Type_23,-1
3034,604,919,197,107,261,680,743,877,684,123,1,0,0,0,Soil_Type_1,-1
3035,570,927,348,292,343,461,637,802,696,213,0,0,1,0,Soil_Type_24,-1
3036,717,938,106,21,227,273,806,905,645,225,0,0,1,0,Soil_Type_38,-1
3037,509,780,61,0,223,724,822,944,665,161,1,0,0,0,Soil_Type_20,-1
3038,123,22,378,43,241,39,720,716,503,58,0,0,0,1,Soil_Type_10,-1
3039,570,47,333,242,279,676,771,739,476,533,1,0,0,0,Soil_Type_1,-1
3040,824,161,257,578,601,348,905,791,385,239,1,0,0,0,Soil_Type_40,-1
3041,556,586,484,523,267,551,688,979,747,183,0,0,1,0,Soil_Type_1,-1
3042,565,308,45,0,223,305,885,928,570,572,1,0,0,0,Soil_Type_23,-1
3043,457,80,227,0,223,203,838,810,492,307,0,0,1,0,Soil_Type_20,-1
3044,538,597,167,86,249,718,822,987,692,229,1,0,0,0,Soil_Type_1,-1
3045,555,336,182,202,275,89,944,905,460,309,0,0,1,0,Soil_Type_32,-1
3046,580,375,182,195,223,211,940,924,488,143,0,0,1,0,Soil_Type_32,-1
3047,456,993,121,0,223,194,818,885,610,311,0,0,1,0,Soil_Type_20,-1
3048,548,844,106,116,236,652,791,932,688,823,1,0,0,0,Soil_Type_12,-1
3049,523,452,348,769,390,354,924,940,480,192,0,0,1,0,Soil_Type_1,-1
3050,579,488,45,501,363,226,869,948,614,296,0,0,1,0,Soil_Type_32,1
3051,554,386,76,344,253,607,893,936,570,779,1,0,0,0,Soil_Type_12,-1
3052,572,11,136,279,257,676,818,873,594,510,1,0,0,0,Soil_Type_1,-1
3053,237,916,469,61,266,138,523,732,724,124,0,0,0,1,Soil_Type_10,-1
3054,335,144,91,125,235,69,877,893,551,155,1,0,0,0,Soil_Type_9,1
3055,555,133,167,307,236,320,881,846,484,327,0,0,1,0,Soil_Type_31,-1
3056,618,175,45,107,239,735,873,916,574,157,1,0,0,0,Soil_Type_1,-1
3057,340,483,378,89,274,168,889,956,527,71,0,0,1,0,Soil_Type_4,1
3058,610,971,136,21,225,199,798,881,629,415,0,0,1,0,Soil_Type_31,-1
3059,430,83,151,384,185,191,853,857,535,201,1,0,0,0,Soil_Type_23,-1
3060,564,86,151,202,244,602,857,857,531,568,1,0,0,0,Soil_Type_20,1
3061,239,6,91,68,230,40,834,901,606,186,0,0,0,1,Soil_Type_10,-1
3062,393,341,272,30,237,253,971,881,385,719,1,0,0,0,Soil_Type_1,1
3063,577,430,257,289,332,88,932,940,496,248,0,0,1,0,Soil_Type_33,1
3064,497,64,182,156,267,241,838,842,535,377,0,0,1,0,Soil_Type_26,-1
3065,637,932,242,21,234,576,716,850,676,229,1,0,0,0,Soil_Type_23,-1
3066,548,469,136,96,254,232,893,960,586,119,0,0,1,0,Soil_Type_32,-1
3067,581,558,197,250,308,807,842,987,665,307,1,0,0,0,Soil_Type_1,-1
3068,561,502,197,0,223,136,881,975,606,113,0,0,1,0,Soil_Type_23,-1
3069,471,100,91,360,298,425,865,889,558,908,1,0,0,0,Soil_Type_20,-1
3070,649,402,61,349,325,43,885,940,586,262,0,0,1,0,Soil_Type_23,-1
3071,703,452,182,558,290,87,909,956,555,384,0,0,1,0,Soil_Type_1,-1
3072,654,133,288,325,342,580,877,763,382,488,1,0,0,0,Soil_Type_1,-1
3073,623,691,106,64,235,282,810,964,696,348,0,0,1,0,Soil_Type_32,1
3074,570,760,394,339,534,366,562,928,897,133,0,0,1,0,Soil_Type_1,-1
3075,539,14,91,43,236,284,838,901,606,392,0,0,1,0,Soil_Type_23,1
3076,622,97,288,496,145,599,842,763,425,604,1,0,0,0,Soil_Type_23,-1
3077,491,105,45,163,207,248,861,916,590,298,1,0,0,0,Soil_Type_1,-1
3078,597,966,333,130,268,188,680,779,629,197,0,0,1,0,Soil_Type_31,-1
3079,683,8,197,668,252,227,791,842,586,129,0,0,1,0,Soil_Type_33,-1
3080,617,333,363,91,259,122,991,834,287,58,0,0,1,0,Soil_Type_33,-1
3081,627,36,242,783,538,389,798,806,535,220,0,0,1,0,Soil_Type_32,-1
3082,661,100,136,416,338,428,865,869,535,478,1,0,0,0,Soil_Type_1,1
3083,361,125,242,339,303,67,877,798,433,363,1,0,0,0,Soil_Type_1,-1
3084,576,641,151,64,253,174,802,979,716,269,0,0,1,0,Soil_Type_32,-1
3085,275,86,333,245,396,63,818,732,413,148,0,0,0,1,Soil_Type_10,-1
3086,875,78,257,538,478,392,830,794,484,196,1,0,0,0,Soil_Type_40,-1
3087,377,516,106,198,312,243,873,968,621,260,0,0,1,0,Soil_Type_2,1
3088,561,641,242,221,311,583,763,995,759,322,1,0,0,0,Soil_Type_1,-1
3089,734,788,288,634,488,546,645,932,830,325,0,0,1,0,Soil_Type_31,-1
3090,674,175,106,21,222,341,889,889,527,219,0,0,1,0,Soil_Type_23,-1
3091,629,108,257,64,236,234,857,783,437,92,0,0,1,0,Soil_Type_31,-1
3092,493,250,61,250,212,265,889,916,562,289,1,0,0,0,Soil_Type_1,-1
3093,529,78,257,357,311,369,826,787,472,276,1,0,0,0,Soil_Type_1,-1
3094,723,230,288,137,266,129,956,802,326,97,0,1,0,0,Soil_Type_32,1
3095,453,214,136,43,239,397,912,881,492,880,1,0,0,0,Soil_Type_12,1
3096,582,957,121,193,278,419,802,893,637,843,1,0,0,0,Soil_Type_1,-1
3097,748,500,61,236,280,123,869,952,614,263,0,0,1,0,Soil_Type_32,1
3098,751,932,333,125,236,505,649,798,688,189,1,0,0,0,Soil_Type_39,-1
3099,344,907,288,61,261,140,669,846,720,67,0,0,1,0,Soil_Type_33,-1
3100,608,830,363,346,551,177,578,877,838,157,0,0,1,0,Soil_Type_33,1
3101,490,563,182,245,274,499,842,987,669,872,1,0,0,0,Soil_Type_1,-1
3102,630,225,197,156,142,250,932,850,421,203,1,0,0,0,Soil_Type_1,-1
3103,661,291,106,528,298,170,916,909,511,329,0,0,1,0,Soil_Type_32,-1
3104,522,56,348,116,294,319,779,732,460,272,0,0,1,0,Soil_Type_33,-1
3105,531,36,151,429,382,457,826,861,570,94,0,0,1,0,Soil_Type_33,-1
3106,412,241,197,352,167,173,940,857,425,185,1,0,0,0,Soil_Type_23,-1
3107,589,286,91,614,376,764,909,912,527,800,1,0,0,0,Soil_Type_12,-1
3108,556,730,272,251,356,401,680,968,826,102,0,0,1,0,Soil_Type_1,-1
3109,324,130,182,0,223,166,881,842,480,227,0,0,1,0,Soil_Type_1,-1
3110,569,264,242,86,258,256,960,842,370,508,1,0,0,0,Soil_Type_1,-1
3111,466,183,288,275,379,55,924,779,342,297,1,0,0,0,Soil_Type_1,-1
3112,599,913,151,319,337,84,771,897,676,83,0,1,0,0,Soil_Type_23,-1
3113,694,547,151,303,117,66,857,979,649,464,0,1,0,0,Soil_Type_23,-1
3114,584,200,121,137,257,529,901,889,511,352,1,0,0,0,Soil_Type_1,1
3115,415,982,348,48,250,164,692,763,594,441,1,0,0,0,Soil_Type_1,-1
3116,247,169,288,125,284,141,912,779,358,135,0,0,0,1,Soil_Type_3,1
3117,615,463,121,215,285,80,893,956,586,207,0,0,1,0,Soil_Type_22,-1
3118,353,949,151,136,248,192,787,889,645,199,0,0,1,0,Soil_Type_2,-1
3119,679,624,45,107,219,847,846,952,645,201,1,0,0,0,Soil_Type_22,1
3120,717,355,394,601,155,179,991,838,279,370,1,0,0,0,Soil_Type_1,-1
3121,537,228,257,387,290,270,948,818,362,377,0,0,1,0,Soil_Type_31,-1
3122,554,774,454,107,276,355,488,897,924,359,0,0,1,0,Soil_Type_33,-1
3123,635,111,409,107,268,186,830,665,303,370,0,0,1,0,Soil_Type_24,-1
3124,454,966,227,413,347,368,755,846,633,257,0,0,1,0,Soil_Type_32,-1
3125,362,641,469,236,426,294,614,979,846,39,0,0,1,0,Soil_Type_4,1
3126,134,891,363,89,263,135,602,822,759,107,0,0,0,1,Soil_Type_10,-1
3127,472,966,348,68,290,508,673,771,625,814,1,0,0,0,Soil_Type_1,-1
3128,600,469,61,421,257,222,873,948,606,366,1,0,0,0,Soil_Type_1,-1
3129,670,119,121,0,223,249,873,873,531,46,0,0,1,0,Soil_Type_35,-1
3130,750,927,242,429,392,282,712,853,684,155,0,0,1,0,Soil_Type_31,-1
3131,615,300,151,137,249,471,932,901,480,740,1,0,0,0,Soil_Type_20,-1
3132,365,139,167,177,310,357,885,853,492,84,0,0,1,0,Soil_Type_11,-1
3133,679,833,136,89,236,48,767,932,716,129,0,1,0,0,Soil_Type_24,-1
3134,127,56,484,48,274,89,708,614,378,71,0,0,0,1,Soil_Type_10,1
3135,652,483,303,184,318,518,893,968,555,103,0,0,1,0,Soil_Type_33,-1
3136,490,19,333,156,323,304,739,755,531,167,0,0,1,0,Soil_Type_33,-1
3137,562,247,167,240,279,533,932,873,452,271,1,0,0,0,Soil_Type_12,-1
3138,742,169,303,86,223,341,912,767,342,583,0,1,0,0,Soil_Type_35,-1
3139,482,524,303,317,387,115,853,987,629,257,0,0,1,0,Soil_Type_4,-1
3140,665,275,242,21,212,192,960,853,385,357,1,0,0,0,Soil_Type_22,-1
3141,625,200,151,125,258,337,912,869,472,159,1,0,0,0,Soil_Type_1,-1
3142,691,993,91,451,272,249,826,897,614,145,0,0,1,0,Soil_Type_31,-1
3143,636,42,167,410,372,227,830,857,562,364,0,0,1,0,Soil_Type_31,-1
3144,290,788,197,198,320,102,724,944,771,196,0,0,0,1,Soil_Type_10,-1
3145,586,977,333,61,236,112,692,775,610,272,1,0,0,0,Soil_Type_1,-1
3146,513,924,30,219,301,361,842,928,629,307,1,0,0,0,Soil_Type_12,-1
3147,502,844,378,182,358,48,570,861,830,151,0,0,1,0,Soil_Type_22,1
3148,658,849,242,173,176,469,684,901,767,179,1,0,0,0,Soil_Type_1,1
3149,544,100,303,388,514,441,842,751,413,213,1,0,0,0,Soil_Type_1,-1
3150,621,330,182,156,284,86,944,901,460,210,0,0,1,0,Soil_Type_32,1
3151,523,114,212,21,231,785,869,822,472,575,1,0,0,0,Soil_Type_1,-1
3152,757,33,197,289,318,330,810,834,558,238,0,0,1,0,Soil_Type_31,-1
3153,588,855,318,137,257,427,629,877,791,171,0,0,1,0,Soil_Type_32,-1
3154,604,361,167,215,275,616,936,920,488,346,1,0,0,0,Soil_Type_1,1
3155,476,325,182,43,236,493,944,901,460,261,0,0,1,0,Soil_Type_32,-1
3156,547,500,167,152,250,612,881,971,606,638,1,0,0,0,Soil_Type_1,-1
3157,536,333,197,152,267,230,952,901,448,112,0,0,1,0,Soil_Type_32,-1
3158,636,968,303,167,243,352,708,802,625,398,1,0,0,0,Soil_Type_1,-1
3159,571,200,76,116,216,580,885,909,555,133,1,0,0,0,Soil_Type_1,-1
3160,583,225,318,0,223,151,956,775,291,192,0,0,1,0,Soil_Type_32,-1
3161,551,685,303,77,283,399,688,987,830,284,0,0,1,0,Soil_Type_33,1
3162,593,239,136,251,279,173,920,885,480,399,1,0,0,0,Soil_Type_1,-1
3163,353,730,469,107,318,136,511,932,932,202,0,0,1,0,Soil_Type_28,-1
3164,67,78,272,109,303,21,826,779,464,30,0,0,0,1,Soil_Type_6,1
3165,603,946,227,265,319,353,735,850,657,135,1,0,0,0,Soil_Type_1,1
3166,567,974,151,215,257,244,794,877,625,107,0,0,1,0,Soil_Type_31,1
3167,243,322,303,215,263,59,979,853,342,157,0,0,0,1,Soil_Type_3,1
3168,636,427,121,21,223,505,905,948,562,680,1,0,0,0,Soil_Type_1,-1
3169,355,69,257,300,263,67,826,794,488,384,1,0,0,0,Soil_Type_1,-1
3170,620,932,136,21,232,738,791,901,657,34,1,0,0,0,Soil_Type_19,-1
3171,522,14,227,89,283,774,783,822,570,107,1,0,0,0,Soil_Type_1,-1
3172,286,64,363,183,327,93,779,708,429,172,0,0,0,1,Soil_Type_10,1
3173,443,391,333,91,271,206,968,897,389,340,0,0,1,0,Soil_Type_10,-1
3174,642,330,257,211,316,35,968,877,393,123,0,0,1,0,Soil_Type_32,-1
3175,386,655,212,21,230,220,771,987,755,17,0,0,1,0,Soil_Type_4,1
3176,550,161,61,144,249,314,877,905,562,264,1,0,0,0,Soil_Type_1,-1
3177,580,11,303,198,336,72,743,775,555,232,0,0,1,0,Soil_Type_24,-1
3178,474,325,288,43,226,347,979,861,354,245,1,0,0,0,Soil_Type_1,-1
3179,618,719,454,414,609,332,527,944,924,181,0,0,1,0,Soil_Type_1,-1
3180,629,522,318,236,318,470,850,983,621,148,0,0,1,0,Soil_Type_33,-1
3181,688,28,136,125,235,443,826,869,582,312,1,0,0,0,Soil_Type_1,-1
3182,591,69,272,77,237,406,818,783,484,144,0,0,1,0,Soil_Type_23,1
3183,432,264,121,68,237,307,920,897,496,197,1,0,0,0,Soil_Type_12,-1
3184,427,980,167,86,231,188,787,865,621,293,1,0,0,0,Soil_Type_12,-1
3185,601,688,45,107,218,300,842,948,649,186,0,0,1,0,Soil_Type_23,-1
3186,534,200,212,61,243,535,924,838,417,251,1,0,0,0,Soil_Type_12,-1
3187,625,39,136,167,213,322,834,873,578,327,0,0,1,0,Soil_Type_32,1
3188,552,225,333,136,345,770,956,763,271,167,1,0,0,0,Soil_Type_1,-1
3189,524,524,45,0,223,696,861,948,621,232,1,0,0,0,Soil_Type_23,-1
3190,247,788,378,77,258,189,558,905,881,51,0,0,0,1,Soil_Type_10,-1
3191,639,264,212,130,256,114,948,861,409,243,1,0,0,0,Soil_Type_1,-1
3192,697,19,61,666,177,220,846,912,606,389,0,1,0,0,Soil_Type_23,-1
3193,406,325,378,21,237,221,995,822,267,203,0,0,1,0,Soil_Type_1,-1
3194,576,28,212,156,232,730,802,834,562,633,1,0,0,0,Soil_Type_1,-1
3195,541,250,61,0,223,295,889,916,562,232,1,0,0,0,Soil_Type_1,-1
3196,541,75,227,48,241,280,834,810,500,325,0,0,1,0,Soil_Type_32,-1
3197,415,150,212,367,252,122,897,818,437,223,1,0,0,0,Soil_Type_1,-1
3198,710,180,151,224,310,187,905,869,484,314,1,0,0,0,Soil_Type_23,-1
3199,641,910,136,250,167,169,779,905,673,132,0,1,0,0,Soil_Type_24,-1
3200,760,425,167,589,488,192,916,948,543,125,0,1,0,0,Soil_Type_31,-1
3201,268,613,318,21,231,79,747,999,763,77,0,0,1,0,Soil_Type_1,1
3202,570,53,378,89,262,259,755,700,441,523,1,0,0,0,Soil_Type_1,-1
